row_hash,issue_code,affected_scope,affected_from,affected_to,decision,severity,signal_blocking,details
a34b237d52c7ec41,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-05-30,2023-05-30,QUARANTINE,WARNING,False,"{""factor_ratio"":1.2583372722020902}"
fddb9238a2df2208,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-05-31,2023-05-31,QUARANTINE,WARNING,False,"{""factor_ratio"":1.6560762509928515}"
436bc74a064cc95e,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-05-31,2023-05-31,QUARANTINE,WARNING,False,"{""factor_ratio"":2.0000000000000000}"
2643bca9c875b0bb,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-06-14,2023-06-14,QUARANTINE,WARNING,False,"{""factor_ratio"":0.6995005391605479}"
f9b9ba75fd470c56,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-06-15,2023-06-15,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9177419354838711}"
68c69d195ded20b4,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-06-16,2023-06-16,QUARANTINE,WARNING,False,"{""factor_ratio"":1.1754665181964532}"
9bfe4e8952ee1a97,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-06-20,2023-06-20,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9485977954120108}"
46d64d236e7ac77d,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-07-24,2023-07-24,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0615744349181604}"
e3f1cae269dc6adc,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-07-25,2023-07-25,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0379921692037470}"
cd3fe6d520063d8b,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-07-28,2023-07-28,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9680365296803654}"
a501dff658758567,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-08-02,2023-08-02,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0964052287581700}"
50cfb369b822e68d,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-08-03,2023-08-03,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0251133123335663}"
60fd90905fecefe2,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-08-14,2023-08-14,QUARANTINE,WARNING,False,"{""factor_ratio"":0.2000000000000000}"
fb193e90613f9999,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-09-14,2023-09-14,QUARANTINE,WARNING,False,"{""factor_ratio"":0.0666666666666667}"
3d34ed4e63af22b7,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-09-15,2023-09-15,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9063141761346082}"
f69c9b63c61f67d8,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-09-18,2023-09-18,QUARANTINE,WARNING,False,"{""factor_ratio"":1.3509685108874394}"
